"cutoff","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
0.01,0.999995526327562,0.286104781418149,0.428394562490537,0.999991633969431,0.428394562490537,0.999995526327562,0.599825844980565,0.348550008264282,0.348548448965717,0.813615483211032,0.643050153872856
0.02,0.999982105310249,0.338478735423089,0.447142322749195,0.999971714457448,0.447142322749195,0.999982105310249,0.617962509105939,0.348550008264282,0.348543771070022,0.779491793411652,0.669230420366669
0.03,0.999923947568559,0.379289297818969,0.462917015301262,0.999892729590227,0.462917015301262,0.999923947568559,0.632853223399767,0.348550008264282,0.348523500188675,0.752885481994779,0.689606622693764
0.04,0.999794211067866,0.41749325010053,0.478710324175424,0.999736341334801,0.478710324175424,0.999794211067866,0.647426909394301,0.348550008264282,0.348478280530286,0.727952297938295,0.708643730584198
0.05,0.99933789647922,0.457363135017138,0.496308491469427,0.999226050714596,0.496308491469427,0.99933789647922,0.663231480203142,0.348550008264282,0.348319232076643,0.701820013285224,0.728350515748179
0.06,0.998411846284615,0.498585393409034,0.51582312126437,0.998298635073997,0.51582312126437,0.998411846284615,0.680216645229721,0.348550008264282,0.34799645727366,0.674642998593513,0.748498619846825
0.07,0.996877376638483,0.54097571951056,0.537456132945816,0.996921163253334,0.537456132945816,0.996877376638483,0.698385137941031,0.348550008264282,0.347461617865819,0.646492981597158,0.768926548074522
0.08,0.994783697937637,0.584158321046282,0.561389158183875,0.995245047264067,0.561389158183875,0.994783697937637,0.717736182794137,0.348550008264282,0.346731866137337,0.617631924455103,0.78947100949196
0.09,0.991576074799803,0.626771250215422,0.587026188105176,0.992860338669437,0.587026188105176,0.991576074799803,0.737463941467894,0.348550008264282,0.345613849066136,0.588753715028831,0.809173662507613
0.1,0.987675032434125,0.668146697815139,0.614256937604683,0.99022689218719,0.614256937604683,0.987675032434125,0.757443202481182,0.348550008264282,0.34425414071734,0.560439971683138,0.827910865124632
0.11,0.982727150718024,0.704794822204776,0.640432535182113,0.987057218424943,0.640432535182113,0.982727150718024,0.775488013895091,0.348550008264282,0.342529556504302,0.534840967139342,0.8437609864614
0.12,0.977032165704827,0.736248875016755,0.664651979536622,0.983583125217842,0.664651979536622,0.977032165704827,0.791122171568707,0.348550008264282,0.340544569430887,0.512365237621508,0.856640520360791
0.13,0.971234286225563,0.763518947590142,0.687247149396324,0.980240676549401,0.687247149396324,0.971234286225563,0.804926700134216,0.348550008264282,0.338523718490474,0.49257929812853,0.867376616907852
0.14,0.966205878405583,0.787449974149321,0.70863847547051,0.977553797788066,0.70863847547051,0.966205878405583,0.817617062838582,0.348550008264282,0.336771066903264,0.475236779487116,0.876827926277452
0.15,0.961325101776048,0.808501522317753,0.728695445759436,0.975045031522065,0.728695445759436,0.961325101776048,0.828999652791173,0.348550008264282,0.335069872168704,0.459821553872206,0.8849133120469
0.16,0.956502482888203,0.827063745859104,0.747427960161786,0.972631081160962,0.747427960161786,0.956502482888203,0.839138361064941,0.348550008264282,0.33338894831549,0.446048269646382,0.891783114373654
0.17,0.951881179260055,0.842918828868506,0.764274425287356,0.970362124360041,0.764274425287356,0.951881179260055,0.847823401669555,0.348550008264282,0.331778192897707,0.434108720533155,0.89740000406428
0.18,0.947134612803651,0.85702899105758,0.779950929105082,0.968050936815638,0.779950929105082,0.947134612803651,0.855450993385511,0.348550008264282,0.3301237771201,0.423262239714087,0.902081801930615
0.19,0.94214646803561,0.869253011125366,0.794044234641169,0.965614796379609,0.794044234641169,0.94214646803561,0.861778570727076,0.348550008264282,0.328385159219976,0.413560284041827,0.905699739580488
