"cutoff","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
0.01,1,0.274862129712962,0.424573726307312,1,0.424573726307312,1,0.596071257621555,0.348550008264282,0.348550008264282,0.820941067870029,0.637431064856481
0.02,0.999991052655125,0.325297282806426,0.442272381917184,0.999985283946257,0.442272381917184,0.999991052655125,0.613297701587789,0.348550008264282,0.348546889667152,0.788081969206972,0.662644167730775
0.03,0.999919473896121,0.36599295329644,0.457650648047667,0.999882294473072,0.457650648047667,0.999919473896121,0.627913248679627,0.348550008264282,0.34852194089011,0.761545826225531,0.682956213596281
0.04,0.999736053326175,0.403622446048676,0.472826408930491,0.999650237719787,0.472826408930491,0.999736053326175,0.64201230180505,0.348550008264282,0.34845800964894,0.736968162241897,0.701679249687426
0.05,0.999252896702903,0.442257242977232,0.489424360016565,0.999096980020007,0.489424360016565,0.999252896702903,0.657037927134366,0.348550008264282,0.348289605403905,0.711631119857044,0.720755069840068
0.06,0.998447635664117,0.480676617582291,0.507063533175205,0.998275056421065,0.507063533175205,0.998447635664117,0.672564104882187,0.348550008264282,0.348008931662181,0.686322144846362,0.739562126623204
0.07,0.996966850087237,0.522135840530035,0.527465348784367,0.99690153460867,0.527465348784367,0.996966850087237,0.689916504908471,0.348550008264282,0.347492803837122,0.658797406574626,0.759551345308636
0.08,0.994591330022816,0.566036516477414,0.550812141993539,0.994913542849931,0.550812141993539,0.994591330022816,0.708983758375136,0.348550008264282,0.346664816299036,0.629370324053428,0.780313923250115
0.09,0.991092918176531,0.610600214464891,0.576588136087283,0.992255630324011,0.576588136087282,0.991092918176531,0.729041684628978,0.348550008264282,0.345445444821102,0.599119931889839,0.800846566320711
0.1,0.986489509238134,0.653098251728166,0.603409588441331,0.989052973458898,0.603409588441331,0.986489509238134,0.748798750360799,0.348550008264282,0.343840926597579,0.569830067642372,0.81979388048315
